Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Year,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
2022-12-31,LRCX US Equity,5.22,3.18,5.25,Lam Research,LRCX,-0.1069323143146074,2022,0.05668016194331971,-0.36904761904761907,-0.07570422535211263,-2.778407374222028,0
2022-12-31,FN US Equity,3.41,0.74,2.58,Fabrinet,FN,-0.0389026482193276,2022,0.23550724637681175,0.08823529411764697,0.13157894736842124,-1.543751542461956,0
2022-12-31,9984 JP Equity,3.81,1.99,3.42,SoftBank,9984.T,-0.0517473783028613,2022,0.1869158878504673,0.041884816753926746,0.09615384615384603,-0.47644840002538946,0
2022-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,000660.KS,-0.1141960165585066,2022,-0.017204301075268824,0.4155405405405408,0.12222222222222223,-1.699850367490074,1
2022-12-31,MPWR US Equity,4.73,2.12,4.11,Monolithic Power Systems,MPWR,-0.0721775036943341,2022,0.3286516853932586,0.024154589371980784,0.11989100817438714,-0.32901385248762216,0
2022-12-31,LITE US Equity,1.0,4.24,4.05,Lumentum,LITE,-0.0504186481070831,2022,0.0,0.6183206106870229,0.21621621621621623,-1.230253996157871,1
2022-12-31,6857 JP Equity,6.85,6.64,6.78,Advantest,6857.T,-0.0711938729486527,2022,0.010324483775811188,0.296875,0.08479999999999999,-1.7815673227327562,0
2022-12-31,NVDA US Equity,6.45,6.29,6.46,NVIDIA,NVDA,-0.1364415028929384,2022,-0.015267175572518998,-0.20480404551201015,-0.08368794326241136,0.3670127373974723,0
2022-12-31,AMZN US Equity,4.35,2.96,4.32,Amazon,AMZN,-0.1298943525647971,2022,0.14775725593667532,0.006802721088435382,0.04347826086956541,1.6373433541948903,0
2022-12-31,MU US Equity,4.92,5.73,5.96,Micron Technology,MU,-0.1310713809432365,2022,0.10067114093959728,0.08935361216730042,0.04929577464788748,-2.1903552534202952,0
2022-12-31,CLS CN Equity,4.96,6.31,6.1,Celestica,CLS,0.0098566856501409,2022,0.04421052631578948,0.024350649350649345,0.04991394148020656,-0.8879624160216787,0
2022-12-31,MSFT US Equity,6.1,4.33,5.87,Microsoft,MSFT,-0.0600455726379975,2022,-0.02866242038216571,0.273529411764706,0.07312614259597816,-4.464304382772845,0
2022-12-31,TSEM IT Equity,1.99,2.29,3.2,Tower Semiconductor,TSEM,-0.0307381409303411,2022,0.5793650793650793,0.0,0.13475177304964547,-1.2596640542927968,0
2022-12-31,TSM US Equity,4.31,4.85,4.82,TSMC,TSM,-0.097225823053042,2022,-0.020454545454545614,0.0,-0.006185567010309145,-4.114019084523163,0
2022-12-31,2383 TT Equity,3.53,3.76,4.13,Elite Material,2383.TW,-0.1023620868276762,2022,-0.306483300589391,2.081967213114754,0.1072386058981234,13.33068602824317,1
2022-12-31,AMD US Equity,7.15,4.76,6.5,AMD,AMD,-0.1656576203187402,2022,0.008462623413258097,0.023655913978494425,-0.0030674846625766694,0.8130749348844215,0
2022-12-31,ENR GR Equity,4.34,2.72,4.12,Siemens Energy,ENR.DE,0.1116382224210936,2022,-0.03982300884955747,0.0,-0.028301886792452824,-3.7545231699593016,0
2022-12-31,AVGO US Equity,4.92,2.27,4.64,Broadcom,AVGO,0.0231661080158782,2022,0.11818181818181817,0.022522522522522515,0.01754385964912286,-0.8894130589834623,0
2022-12-31,GOOGL US Equity,5.43,2.54,4.35,Alphabet (Google),GOOGL,-0.1263490950011326,2022,0.044230769230769074,0.01195219123505975,0.02594339622641506,-7.068245765915579,0
2023-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0400438513940761,2023,-0.025287356321838983,0.01013513513513531,0.0092592592592593,-1.3082801569383122,0
2023-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,MPWR,0.1513568035393173,2023,0.046511627906976605,0.17452830188679247,0.0924574209245741,-3.097008012085056,0
