Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2024-10-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-11-29,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.09,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2024-12-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-01-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-02-28,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-03-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-04-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-05-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-06-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-07-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-08-29,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-09-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-10-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-11-28,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2025-12-31,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
2026-01-30,6.81,4.82,5.48,4.26,4.66,4.96,7.07,3.99,5.12,3.73,6.85,2.8,1.87,5.63,5.01,3.92,2.15,4.03,4.49,4.19,6.12,4.23,4.36
