Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
LITE,2022,2022-12-31,LITE US Equity,1.0,4.24,4.05,Lumentum,-0.5067599524939075,0.0,0.7235772357723578,0.302250803858521,-5.379295634319541,1
AMD,2022,2022-12-31,AMD US Equity,7.09,4.65,6.52,AMD,-0.5498957651821776,0.0,0.0,0.0,-1.9662951740666974,0
CLS,2022,2022-12-31,CLS CN Equity,4.75,6.16,5.81,Celestica,0.0125786470694737,0.09195402298850586,-0.07784431137724546,-0.02352941176470602,-0.9668269071594867,0
TSEM,2022,2022-12-31,TSEM IT Equity,1.26,2.29,2.82,Tower Semiconductor,0.0887096882734783,0.0,0.0,0.0,-0.8347414124615207,0
NVDA,2022,2022-12-31,NVDA US Equity,6.45,6.29,6.46,NVIDIA,-0.5026463899791695,-0.015267175572518998,-0.20480404551201015,-0.08368794326241136,-1.4005721585711075,0
TSLA,2022,2022-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,-0.6503151169866452,-0.1779359430604982,-0.004273504273504147,-0.05451127819548873,-2.3070200132773557,0
000660.KS,2022,2022-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,-0.4198380208289408,0.12009803921568629,0.3603896103896105,0.18544600938967148,-4.528021197076825,1
LRCX,2022,2022-12-31,LRCX US Equity,5.22,3.18,5.25,Lam Research,-0.4072314115194253,0.08977035490605423,-0.36272545090180364,-0.06914893617021267,-1.7588727610785848,0
META,2022,2022-12-31,META US Equity,7.61,1.84,4.26,Meta Platforms,-0.6422179602288192,0.035374149659864074,0.5593220338983051,0.13297872340425543,-3.7762048201305247,1
6857.T,2022,2022-12-31,6857 JP Equity,6.85,6.64,6.78,Advantest,-0.2089525312908545,0.010324483775811188,0.296875,0.08479999999999999,-1.4874025589607347,0
TSEM,2023,2023-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,-0.2935185203990491,1.3650793650793651,0.42358078602620086,0.4148936170212767,-4.308753825108445,1
TSLA,2023,2023-12-31,TSLA US Equity,4.62,4.66,5.03,Tesla,1.0172105464518206,0.0,0.0,0.0,-2.564180994538852,0
MU,2023,2023-12-31,MU US Equity,4.92,5.73,5.96,Micron Technology,0.7193119420071512,0.0,0.0,0.0,-2.5661138155041696,0
AMZN,2023,2023-12-31,AMZN US Equity,4.35,2.96,4.32,Amazon,0.8088095528738839,0.0,0.0,0.0,-2.630164369316269,0
NVDA,2023,2023-12-31,NVDA US Equity,6.95,6.4,6.66,NVIDIA,2.39017175090077,0.07751937984496116,0.01748807631160587,0.03095975232198156,-5.7551754047210455,0
000660.KS,2023,2023-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,0.9071249139295314,0.0,0.0,0.0,-3.1606545118007103,0
AVGO,2023,2023-12-31,AVGO US Equity,4.92,2.27,4.64,Broadcom,1.0418427645292687,0.11818181818181817,0.022522522522522515,0.01754385964912286,-8.851311229098549,0
MSFT,2023,2023-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,0.5819127815297158,-0.07868852459016384,-0.3002309468822172,-0.12776831345826234,-3.0764250661249446,0
6857.T,2023,2023-12-31,6857 JP Equity,7.14,6.56,6.9,Advantest,1.2851768330789777,0.04233576642335768,-0.012048192771084376,0.017699115044247815,-7.150568385745264,0
GOOGL,2023,2023-12-31,GOOGL US Equity,5.43,2.54,4.35,Alphabet (Google),0.5832482993197279,0.044230769230769074,0.01195219123505975,0.02594339622641506,-2.492082053103716,0
LITE,2023,2023-12-31,LITE US Equity,1.0,4.24,4.05,Lumentum,0.0047920262368115,0.0,0.0,0.0,-1.0094562054740683,0
META,2023,2023-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,1.941333272896685,-0.03942181340341666,0.1032608695652173,-0.00704225352112664,-4.022857336791075,0
TSM,2023,2023-12-31,TSM US Equity,4.31,4.85,4.82,TSMC,0.4232973322943583,-0.020454545454545614,0.0,-0.006185567010309145,-2.1518779253660334,0
CLS,2023,2023-12-31,CLS CN Equity,4.96,6.31,6.1,Celestica,1.5980478702177083,0.04421052631578948,0.024350649350649345,0.04991394148020656,126.04449543670772,0
9984.T,2023,2023-12-31,9984 JP Equity,3.85,1.99,3.43,SoftBank,0.1235866243165921,0.01049868766404205,0.0,0.0029239766081872176,1.6028870285418373,0
LRCX,2023,2023-12-31,LRCX US Equity,5.16,2.99,5.08,Lam Research,0.8862906260436354,-0.011494252873563093,-0.05974842767295596,-0.0323809523809524,-3.1763808021016535,0
AMD,2023,2023-12-31,AMD US Equity,7.15,4.76,6.5,AMD,1.2758995106091229,0.008462623413258097,0.023655913978494425,-0.0030674846625766694,-3.3202570221402303,0
MPWR,2023,2023-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,0.7977597619680865,0.3904494382022472,0.20289855072463792,0.22343324250681218,-3.871785848094176,1
